SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes
CH,Mt_Holden,Scoria_cone,-37.5645,144.6925,,,Fe-rich basalt,,60,10800,518,FALSE,19.54486233,35.5,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Hollowback,Scoria_cone,-37.4408,143.8187,,,,,129,10800,518,FALSE,17.9004566,32.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Hydewell,Lava_shield,-37.6235,144.2252,Significant_source_of_lava,,,,25,10800,518,FALSE,4.630848134,8.1,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Kooroocheang,Magmatic_Volcanic_Complex,-37.297,143.9843,,,"Transitional basalt, Hawaiite",,170,10800,518,FALSE,24.22774532,45,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Mitchell,Magmatic_Volcanic_Complex,-37.2847,143.5838,,,K-Rich Hawaiite,,103,10800,518,FALSE,15.85454643,28.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Moolort,Lava_shield,-37.0474,143.8604,,3.11 +- 0.03,K-Rich Nepheline Hawaiite,,85,10800,518,FALSE,18.67525326,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Moorookyle,Scoria_cone,-37.2947,143.9403,Birch Creek Volcanic Complex - highest concentration of scoria cones in NVP,,,,147,10800,518,FALSE,20.25406082,36.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Pisgah,Scoria_cone,-37.4626,143.818,,,K-Rich Hawaiite,,82,10800,518,FALSE,16.85680854,30.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Prospect,Lava_shield,-37.384,144.0576,,,K-Rich Hawaiite,,43,10800,518,FALSE,10.09293983,17.8,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Ridley,Lava_shield,-37.5656,144.9333,,4.607 +_ 0.007,Trachybasalt to alkali basalt,,45,10800,518,FALSE,16.43605922,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Rowan,Scoria_cone,-37.5,143.8381,,2.97 ± 0.06,Tholeiite to mildly alkalic olivine basalt,,45,10800,518,FALSE,11.91464383,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Steiglitz,Scoria_cone,-37.5648,144.2335,,,Hawaiite,,90,10800,518,FALSE,16.69924423,30,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Stewart,Scoria_cone,-37.2647,144.1498,,,K-Rich Hawaiite,,180,10800,518,FALSE,26.83941035,50.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
