SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes,Recurrence_score,Lahar_Score,PDC_Score,Tephra_Score,Tsunami_Score,Littoral_Score,Total_Hazard_Score
CH,GEOVIC_53,Unknown,-37.2877,144.2376,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,20.0,10800,518,False,10.75796709,19.0,False,False,False,False,False,7,True,False,False,0,False,4,2,4,3.5,0,0,3.215712653985
CH,GEOVIC_55,Unknown,-37.2982,144.1478,,,Tholeiite to mildly alkalic olivine basalt,,50.0,10800,518,False,17.22343619,31.0,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,GEOVIC_563,Lava_shield,-37.1357,144.6265,,,Basalt,,50.0,10800,518,False,10.92377381,19.3,False,False,False,False,False,7,True,False,False,0,False,4,0,3,3.5,0,0,2.256200025385
CH,GEOVIC_564,Unknown,-37.2311,144.8286,,,Basalt,,30.0,10800,518,False,12.78940656,22.7,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,GEOVIC_565,Lava_shield,-37.5186,144.1373,,,Olivine basalt,,12.0,10800,518,False,5.54035759,9.7,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_58,Unknown,-37.3425,144.0322,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,13.0,10800,518,False,4.972213145,8.7,False,False,False,False,False,7,True,False,False,0,False,4,2,2,3.5,0,0,2.1648178703850003
CH,GEOVIC_605,Unknown,-37.2729,144.8607,,,,,23.0,10800,518,False,8.75477299,15.4,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,GEOVIC_69,Lava_shield,-37.1111,144.4073,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,42.0,10800,518,False,20.70659214,37.8,False,False,False,False,False,7,True,False,False,0,False,4,5,4,3.5,0,0,3.8668105091849996
CH,GEOVIC_73,Lava_shield,-37.4165,144.4593,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,37.0,10800,518,False,10.92377381,19.3,False,False,False,False,False,7,True,False,False,0,False,4,2,4,3.5,0,0,3.215712653985
CH,GEOVIC_74,Lava_shield,-37.3434,144.3822,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,40.0,10800,518,False,10.64732771,18.8,False,False,False,False,False,7,True,False,False,0,False,4,2,4,3.5,0,0,3.215712653985
CH,Golf_Course_Hill,Lava_shield,-37.3475,144.5292,,"7 ± 0.12, 6.81 ± 0.11",Limburgite,,46.0,10800,518,False,15.21632671,27.2,False,False,False,False,False,7,True,False,False,0,False,4,3,2,3.5,0,0,2.381850488785
CH,Gooches_Hill,Magmatic_Volcanic_Complex,-37.3082,144.2207,Complex,,K-Rich Hawaiite,,80.0,10800,518,False,12.95276451,23.0,False,False,False,False,False,7,True,False,False,0,False,4,0,3,7.0,0,0,2.53605787537
CH,Gordon_Hill,Scoria_cone,-37.2797,143.6368,,,K-Rich Hawaiite,,120.0,10800,518,False,21.05670559,38.5,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,Green_Hill_Buninyong,Lava_shield,-37.6284,143.9012,,,Tholeiite to mildly alkalic olivine basalt,,40.0,10800,518,False,13.00716973,23.1,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Green_Hill_Metcalfe,Scoria_cone,-37.1513,144.4329,Rosengren_states_lava_and_scoria,,"K-Rich Hawaiite, Transitional Basalt",,90.0,10800,518,False,14.5742162,26.0,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,Green_Hill_Newlyn,Lava_shield,-37.3957,144.0213,,,K-Rich Hawaiite,,62.0,10800,518,False,15.85454643,28.4,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
